name,make,model,kilometerdriven,ownernumber,price,fueltype_num,transmission_num,isc24assured_num,age
MG HECTOR,Mg,Hector,51247,1,1527799,3,1,0,6
Hyundai Creta,Hyundai,Creta,56907,1,1040000,3,2,0,7
Maruti Alto,Maruti,Alto,27353,1,494000,2,1,0,4
Datsun Redi Go,Datsun,Redi Go,1733,1,468000,1,2,0,4
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,13595,2,409000,1,1,0,8
Honda WR-V,Honda,Wr-V,75368,1,632000,1,1,0,8
Hyundai Grand i10,Hyundai,Grand I10,48526,3,505000,3,1,0,10
Maruti S Cross,Maruti,S Cross,44289,1,760000,3,1,0,8
Hyundai Eon,Hyundai,Eon,61579,1,327000,1,1,0,7
Maruti Alto K10,Maruti,Alto K10,44700,1,417000,2,2,0,7
Renault Captur,Renault,Captur,26512,1,1072000,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,35094,1,559000,1,1,0,7
Honda Brio,Honda,Brio,72280,2,335800,1,1,0,13
Renault Kwid,Renault,Kwid,26057,1,398000,1,2,0,7
Datsun Redi Go,Datsun,Redi Go,72095,2,347000,1,2,0,7
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,12697,1,583199,1,1,0,6
Maruti Baleno,Maruti,Baleno,44259,1,605000,1,1,0,6
Renault TRIBER,Renault,Triber,4704,1,839000,1,1,0,3
Maruti Ritz,Maruti,Ritz,40177,1,383800,1,1,0,14
Renault Captur,Renault,Captur,73871,2,748000,3,1,0,7
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,16261,1,625000,1,1,0,5
Jeep Compass,Jeep,Compass,51823,1,1341000,3,1,0,8
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,16596,1,702000,1,2,0,5
Maruti Dzire,Maruti,Dzire,12569,1,708000,1,1,0,4
KIA SELTOS,Kia,Seltos,53390,1,1294000,3,1,0,5
Maruti Ciaz,Maruti,Ciaz,97955,1,704000,3,1,0,7
Ford Ecosport,Ford,Ecosport,6234,2,793000,1,1,0,6
Maruti Swift,Maruti,Swift,48687,2,470000,1,1,0,12
MARUTI BREZZA,Maruti,Brezza,16175,1,1278000,1,0,0,3
